PARENT,CMODEL,obj_file,sequence,Collection,Identifier,Title,Personal_Name_Creator,Corporate_Name_Creator,Personal_Name_Contributor,Corporate_Name_Contributor,Subject_Topic,Subject_Personal_Name,Subject_Corporate_Name,Location,Time_Period,Date_Created,Date_Issued,Publisher,Place_of_Publication,Description,Note,Type,Genre,Extent,Language,Rights,Owning_Institution,Digital_Format,Digital_Origin
17,islandora:pageCModel,fu_cciu_2531948viii.jp2,8,,fu_cciu_2531948viii,Page 8,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948ix.jp2,9,,fu_cciu_2531948ix,Page 9,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948x.jp2,10,,fu_cciu_2531948x,Page 10,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948xi.jp2,11,,fu_cciu_2531948xi,Page 11,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948xii.jp2,12,,fu_cciu_2531948xii,Page 12,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948xiii.jp2,13,,fu_cciu_2531948xiii,Page 13,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
17,islandora:pageCModel,fu_cciu_2531948xiv.jp2,14,,fu_cciu_2531948xiv,Page 14,,,,,,,,,,,,,,,,,,,,,,image/jp2,reformatted digital
metrotest:demo,islandora:sp_basic_image,SSHPhotoBook1_pg1_photo1_White_Francis.jpg,1,Sailor's Snug Harbor Resident Photographs,SSHPhotoBook1_pg1_photo1_White_Francis,Francis White Photograph,,,,,,"White, Francis",,,,circa 1860-1930,,The Trustees of Sailors' Snug Harbor,,Photograph of Sailors' Snug Harbor resident: Francis White. Inmate number 3240. Photo number 1. Photographs are albumen prints mounted on cardboard.,,still image,albumen prints,,,In Copyright _ Educational Use Permitted,State University of New York Maritime College. Stephen B. Luce Library,image/jpeg,reformatted digital
metrotest:demo,islandora:sp_basic_image,SSHPhotoBook1_pg1_photo2_Sommerville_Frederick_J.jpg,1,Sailor's Snug Harbor Resident Photographs,SSHPhotoBook1_pg1_photo2_Sommerville_Frederick_J,Frederick J. Sommerville Photograph ,,,,,,"Sommerville, Frederick J. ",,,,circa 1860-1930,,The Trustees of Sailors' Snug Harbor,,Photograph of Sailors' Snug Harbor resident: Frederick J. Sommerville. Inmate number 3036. Photo number 2. Photographs are albumen prints mounted on cardboard.,,still image,albumen prints,,,In Copyright _ Educational Use Permitted,State University of New York Maritime College. Stephen B. Luce Library,image/jpeg,reformatted digital
metrotest:demo,islandora:sp_large_image_cmodel,SSHRegisterA_Inmate1_James_David.jp2,1,Sailors' Snug Harbor Register of Inmates ,SSHRegisterA_Inmate1_James_David.jp2,David James Register Page,,,,,,"James, David",,,,1869-06-14,,The Trustees of Sailors' Snug Harbor,,Register page of Sailors' Snug Harbor resident David James from the Register of Inmates A. Inmate number 1. Register is a large handwritten volume.,,text,registers (lists),,,No Copyright _ United States,State University of New York Maritime College. Stephen B. Luce Library,image/jp2,reformatted digital
metrotest:demo,islandora:sp_large_image_cmodel,SSHRegisterA_Inmate2_Porter_William.jp2,1,Sailors' Snug Harbor Register of Inmates ,SSHRegisterA_Inmate2_Porter_William.jp2,William Porter Register Page,,,,,,"Porter, William",,,,1869-06-14,,The Trustees of Sailors' Snug Harbor,,Register page of Sailors' Snug Harbor resident William Porter from the Register of Inmates A. Inmate number 2. Register is a large handwritten volume.,,text,registers (lists),,,No Copyright _ United States,State University of New York Maritime College. Stephen B. Luce Library,image/jp2,reformatted digital
metrotest:demo,islandora:compoundCModel,,,"General Society of Mechanics and Tradesmen, Industry and Culture Collection",gsmt_icc_082,Postcard Related to Elevated Railroad Removal,,,,,"Railroads, Elevated ; Railroads",,,New York (State)--New York,Nineteen thirties,1939,,,New York (State)--New York,"Postcard with the question 'do you want the elevated structures taken down?' printed on it, dated November, 1939. The postcard had the printed address 'Mr. George D. Burchell, Secretary, 9 Rockefeller Plaza, New York City' on the reverse side. Underneath the address is written 'Association of Owners - Second, Ninth Avenues Inc. The elevated railroad on Ninth Avenue ceased operation on June 11, 1940 after it was replaced with the 8th Ave subway line, which opened in 1932.","Digitized by the Metropolitan New York Library Council as part of the Culture In Transit project, funded by a grant from the John S. and James L. Knight Foundation. Item number 152",text,postcards,1 postcard ; 14cm x 8cm,eng,"No Known Copyright - for more info see http://rightsstatements.org/vocab/NKC/1.0
The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please contact the Society at (212) 840-1840 or info@generalsociety.org for more information. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. 
Acknowledgment of ""The General Society of Mechanics and Tradesmen"" as the source for this digitized object will be appreciated.","The General Society of Mechanics and Tradesmen, Archives",image/jpeg,reformatted digital
36,islandora:sp_basic_image,gsmt_icc_082a.jpg,1,,gsmt_icc_082a,Front ,,,,,,,,,,,,,,,,,,,,,,image/jpeg,reformatted digital
36,islandora:sp_basic_image,gsmt_icc_082b.jpg,2,,gsmt_icc_082b,Back,,,,,,,,,,,,,,,,,,,,,,image/jpeg,reformatted digital
metrotest:demo,islandora:compoundCModel,,,"General Society of Mechanics and Tradesmen, Industry and Culture Collection",gsmt_icc_065,"Fourth Annual Dinner Amory Students, 1936",,,,,Dinners and dining ; Students ; Architectural design,"Amory, Fremont D.",,New York (State)--New York,Nineteen thirties,1936,,,New York (State)--New York,"Program for the Fourth Annual Dinner of the Amory Students studying architectural design under instructor, Fremont D. Amory Jr. held on April 2, 1936 at The Hotel Dryden, 150 East 39st St., New York.","Digitized by the Metropolitan New York Library Council as part of the Culture In Transit project, funded by a grant from the John S. and James L. Knight Foundation. Item number 138",still image ; text,souvenir programs,1 souvenir program ; 23.5cm x 14cm,eng,"No Known Copyright - for more info see http://rightsstatements.org/vocab/NKC/1.0
The organization that has made the Item available reasonably believes that the Item is not restricted by copyright or related rights, but a conclusive determination could not be made. Please contact the Society at (212) 840-1840 or info@generalsociety.org for more information. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. 
Acknowledgment of ""The General Society of Mechanics and Tradesmen"" as the source for this digitized object will be appreciated.","The General Society of Mechanics and Tradesmen, Archives",image/jpeg,reformatted digital
39,islandora:sp_basic_image,gsmt_icc_065a.jpg,1,,gsmt_icc_065a,Announcement,,,,,,,,,,,,,,,,,,,,,,image/jpeg,reformatted digital
39,islandora:sp_basic_image,gsmt_icc_065b.jpg,2,,gsmt_icc_065b,Program,,,,,,,,,,,,,,,,,,,,,,image/jpeg,reformatted digital
